layer00.qkv_weight	764235627b1aa58157b18cabc08b65effbfefd874b711132261654ef2c62e283	(1, 80, 100096)	torch.uint8
layer00.qkv_bias	4dda1f26f81838a51043b4ccf1f6c67868d7c5c81e9436ffa7b3f7d8aecc23b3	(80, 64)	torch.bfloat16
layer00.oproj_weight	790f484e53c1b504fc7af3f92e869224437bbc50b7ffd529fc3c702af8cb6a67	(1, 184, 34816)	torch.uint8
layer00.oproj_bias	3f906a8aff66ed07c38f195e5de1819efff1d19002ff63ef6ecd50120cb9bd28	(184, 16)	torch.bfloat16
layer00.norm_pre	8ca2531413300f8842724f165f05df3bcde0ce7bae6601d9b6dde5b9cc9d2bb6	(2944,)	torch.bfloat16
layer00.norm_post	1b746da68db1695582b60058dec6b201312e396774c1e49f417202117298b585	(2944,)	torch.bfloat16
layer00.router_w	980719f28fa6b8db976c4c3283b7d761f5e6d60ab11fbdd193049180a7b567a3	(128, 2944)	torch.bfloat16
layer00.router_b	612c4cfac89b7d93790361921841aaeffc071f3ba1dc3f6bf64e708eeacc0c44	(1, 128)	torch.bfloat16
layer00.gate_up_w	6576f5de945228d9520fa12908744f9774919f35e39a352d6a7e611f97a4e098	(128, 46, 200192)	torch.uint8
layer00.down_w	1f222edd5da077bb7759b73f402bb2dd8636201d8cac39e00ccd33df11175e9b	(128, 46, 100096)	torch.uint8
layer00.gate_up_bias	83a7534363fd689407eb4c78a3d14b1730a75ab416f63e44054d0568b06d2aa0	(128, 5888)	torch.bfloat16
layer00.down_bias	32b1e08421d62dc17f25799b19d3129a899934e37c7e48ff7e45bfbc55e737aa	(128, 2944)	torch.bfloat16
layer00.sinks	cf5a898f485aaf44bf12cddc5b331e1839c538ae6e3cd59d12cb88317b11683f	(64,)	torch.bfloat16
layer01.qkv_weight	8359eb710de93f7b3cbba44b9edf46601e587cd12f2c6bdb6ceface15424cf6c	(1, 80, 100096)	torch.uint8
layer01.qkv_bias	c04fb92e6e0d9e724c25771dc57c1fd1a9848bf8c7326651dc3d7229f13f5383	(80, 64)	torch.bfloat16
layer01.oproj_weight	7b8c4e980453fa2b49ef8a62448103ebfdd115d9819920376511e30acf4fcfb7	(1, 184, 34816)	torch.uint8
layer01.oproj_bias	521fa67ca4990cdd10072b6a0f3d3341cd95ed69621ae716dd0a6f85139e0c73	(184, 16)	torch.bfloat16
layer01.norm_pre	f9d1f118985c9bb402867d75c057c74fbba35a9170c6561325b3f8a212bb418c	(2944,)	torch.bfloat16
layer01.norm_post	7d0996a4523097bca0746b5df1c3a5912c65aca82013de1aed283ea80057d1f0	(2944,)	torch.bfloat16
layer01.router_w	cefd0691c5b342937f41bdbcc23fde5479e86d592f4f083d330e9ff1f12f054a	(128, 2944)	torch.bfloat16
layer01.router_b	b4eba7722f0d17c4c46ec6423528d1586554f2c28726946d0646bbf0d81304f4	(1, 128)	torch.bfloat16
layer01.gate_up_w	8f62c270eaf0a82a3e25cbbdd6dbed005ed5ebe589f96ba581b1aaafb2767d3b	(128, 46, 200192)	torch.uint8
layer01.down_w	33e38612c42ada3402c9fb9f5b45998e9f95e918daa6668480118f8c445bffac	(128, 46, 100096)	torch.uint8
layer01.gate_up_bias	b82309c5052846be6cfbe4ac69218b53d3f976592d705ba75abc18acce19a8c0	(128, 5888)	torch.bfloat16
